Front (English),Back (Hebrew),Transliteration,Other forms,Mnemonic,Example (Hebrew),Example (translit),Example (English),Category,Day
Answer / reply,תְּשׁוּבָה,Tshuva,pl. Tshuvot תְּשׁוּבוֹת,"tshoo-VA — from lashuv, ""to return"": an answer is what comes back. Also ""repentance"" — a return to the right path.",אֵין לִי תְּשׁוּבָה לַשְּׁאֵלָה הַזֹּאת.,Ein li tshuva la-she'ela ha-zo.,I don't have an answer to this question.,Nouns · Words & paper,109
Picture / photo,תְּמוּנָה,Tmuna,pl. Tmunot תְּמוּנוֹת,tmoo-NA — think of a picture you MOUNT on the wall: t-MOUNT-a.,יֵשׁ תְּמוּנוֹת יָפוֹת עַל הַקִּיר.,Yesh tmunot yafot al ha-kir.,There are beautiful pictures on the wall.,Nouns · Words & paper,110
Drawing,צִיּוּר,Tziur,pl. Tziurim צִיּוּרִים,"tsee-YOOR — from letzayer, to draw, and tzayar, a painter. A tziur is what a tzayar makes.",הַצִּיּוּר שֶׁל הַיַּלְדָּה צִבְעוֹנִי.,Ha-tziur shel ha-yalda tzivoni.,The girl's drawing is colorful.,Nouns · Words & paper,110
Example,דֻּגְמָה,Dugma,pl. Dugmaot דֻּגְמָאוֹת,"DOOG-ma — same root as dugman, a model. Lemashal / le-dugma = ""for example"".","תֵּן לִי דֻּגְמָה, בְּבַקָּשָׁה.","Ten li dugma, bevakasha.","Give me an example, please.",Nouns · Words & paper,110
Information,מֵידָע,Meida,,"may-DA — from lada'at, ""to know"": information is ""knowable stuff"". You'll see מידע on every info desk.",אֵין לִי מַסְפִּיק מֵידָע עַל הַטִּיּוּל.,Ein li mespik meida al ha-tiyul.,I don't have enough information about the trip.,Nouns · Words & paper,110
Booklet / pamphlet,חוֹבֶרֶת,Choveret,pl. Chovrot חוֹבְרוֹת,"cho-VEH-ret — from lechaber (to join), just like machberet. A choveret is a thin stapled booklet.",קִבַּלְתִּי חוֹבֶרֶת עִם כָּל הַפְּרָטִים.,Kibalti choveret im kol ha-prati'im.,I got a booklet with all the details.,Nouns · Words & paper,110
Workbook,חוֹבֶרֶת עֲבוֹדָה,Choveret avoda,pl. Chovrot avoda חוֹבְרוֹת עֲבוֹדָה,Booklet + avoda (work). Hebrew stacks nouns to build compounds — you've now seen this a dozen times.,הַתַּלְמִידִים פּוֹתְחִים אֶת חוֹבֶרֶת הָעֲבוֹדָה.,Ha-talmidim potchim et choveret ha-avoda.,The students open the workbook.,Nouns · Words & paper,110
To become / to turn into,הוֹפֵךְ / הוֹפֶכֶת,Hofech / Hofechet,inf. La-hafoch לַהֲפוֹךְ,"HO-fech — to flip something over. Hafuch is the Israeli latte — literally ""upside down"" coffee.",הַמַּיִם הוֹפְכִים לְקֶרַח.,Ha-mayim hofchim le-kerach.,The water turns into ice.,Verbs · Change,113
To grow,גָּדֵל / גְּדֵלָה,Gadel / Gdela,inf. Lig-dol לִגְדּוֹל,ga-DEL — one letter from gadol (big). To grow is to become gadol.,הַיְּלָדִים גְּדֵלִים כָּל כָּךְ מַהֵר.,Ha-yeladim gdelim kol kach maher.,The children grow so fast.,Verbs · Change,113
To bloom / to blossom,פּוֹרֵחַ / פּוֹרַחַת,Poreach / Porachat,inf. Lif-roach לִפְרֹחַ,"po-RE-ach — perach means flower; to bloom is to ""do a flower"". Same root: p-r-ch.",הַפְּרָחִים פּוֹרְחִים בָּאָבִיב.,Ha-prachim porchim ba-aviv.,The flowers bloom in spring.,Verbs · Change,113
To build,בּוֹנֶה / בּוֹנָה,Bone / Bona,inf. Liv-not לִבְנוֹת,BO-neh — the BONES of a house. Binyan = a building (and also the name for a Hebrew verb pattern).,הֵם בּוֹנִים בַּיִת חָדָשׁ בַּשְּׁכוּנָה.,Hem bonim bayit chadash ba-shchuna.,They're building a new house in the neighborhood.,Verbs · Change,113
To create,יוֹצֵר / יוֹצֶרֶת,Yotzer / Yotzeret,inf. Li-tzor לִיצוֹר,yo-TSER — the Yotzer is the Creator in Hebrew liturgy. Yetzira = a creation/artwork.,הָאָמָּנִית יוֹצֶרֶת מוּזִיקָה חֲדָשָׁה.,Ha-omanit yotzeret muzika chadasha.,The artist creates new music.,Verbs · Change,113
Hour / o'clock,שָׁעָה,Sha'a,pl. Sha'ot שָׁעוֹת,"sha-A — related to shaon (watch/clock). Ma ha-sha'a? = ""What time is it?""",חִכִּיתִי שָׁעָה שְׁלֵמָה.,Chikiti sha'a shlema.,I waited a whole hour.,Nouns · Time,114
Minute,דַּקָּה,Daka,pl. Dakot דַּקּוֹת,"da-KA — from dak, ""thin/fine"": a minute is a fine slice of an hour. ""Rega, daka!"" = ""Wait, one minute!""",אֲנִי מַגִּיעַ בְּעֶשֶׂר דַּקּוֹת.,Ani magi'a be-eser dakot.,I'll arrive in ten minutes.,Nouns · Time,114
Second,שְׁנִיָּה,Shniya,pl. Shniyot שְׁנִיּוֹת,"shnee-YA — from shtayim/sheni, ""two/second"". Just like English: the ""second"" division of an hour.","רַק שְׁנִיָּה, אֲנִי בָּא!","Rak shniya, ani ba!","Just a second, I'm coming!",Nouns · Time,114
Year,שָׁנָה,Shana,pl. Shanim שָׁנִים,"sha-NA — Rosh Hashana = ""head of the year"". Shana tova = happy new year.",אֲנִי גָּר פֹּה שָׁלוֹשׁ שָׁנִים.,Ani gar po shalosh shanim.,I've lived here for three years.,Nouns · Time,114
Month,חֹדֶשׁ,Chodesh,pl. Chodashim חֳדָשִׁים,"CHO-desh — from chadash, ""new"": a month begins with the new moon. Watch the near-twins: chodesh (month) vs. chadash (new).","בַּחֹדֶשׁ הַבָּא אֲנַחְנוּ נוֹסְעִים לְחוּ""ל.",Ba-chodesh ha-ba anachnu nos'im le-chul.,Next month we're traveling abroad.,Nouns · Time,114
Available / free / single,פָּנוּי / פְּנוּיָה,Panui / Pnuya,pl. Pnuyim / Pnuyot פְּנוּיִים / פְּנוּיוֹת,"pa-NOO-ee — from lefanot, ""to clear out"". A free table, a free evening, or a single person are all panui.",אַתְּ פְּנוּיָה מָחָר בָּעֶרֶב?,At pnuya machar ba-erev?,Are you free tomorrow evening?,Adjectives · States,115
Busy / occupied,עָסוּק / עֲסוּקָה,Asuk / Asuka,pl. Asukim / Asukot עֲסוּקִים / עֲסוּקוֹת,"a-SOOK — from esek, ""business"". A busy person is deep in their esek.",אֲנִי עֲסוּקָה כָּל הַשָּׁבוּעַ.,Ani asuka kol ha-shavua.,I'm busy all week.,Adjectives · States,115
Quiet,שָׁקֵט / שְׁקֵטָה,Shaket / Shketa,pl. Shketim / Shketot שְׁקֵטִים / שְׁקֵטוֹת,"sha-KET — ""Sheket!"" is what a teacher shouts for silence. Same root as shotek (to be quiet).",הַשְּׁכוּנָה שְׁקֵטָה בַּלַּיְלָה.,Ha-shchuna shketa ba-laila.,The neighborhood is quiet at night.,Adjectives · States,115
Loud / noisy,רַעֲשָׁן / רַעֲשָׁנִית,Ra'ashan / Ra'ashanit,pl. Ra'ashanim / Ra'ashaniyot רַעֲשָׁנִים / רַעֲשָׁנִיּוֹת,"ra-a-SHAN — from ra'ash, noise. A ra'ashan is also the noisemaker you spin at Purim.",הַמִּסְעָדָה רַעֲשָׁנִית מִדַּי.,Ha-mis'ada ra'ashanit mid'i.,The restaurant is too noisy.,Adjectives · States,115
Waiting / looking forward to,מְחַכֶּה / מְחַכָּה,Mechakeh / Mechaka,pl. Mechakim / Mechakot מְחַכִּים / מְחַכּוֹת,"me-cha-KEH — from lechakot, to wait. ""Ani mechakeh le…"" is how you say you're looking forward to something.",אֲנִי מְחַכָּה לְסוֹף שָׁבוּעַ.,Ani mechaka la-sof shavua.,I'm looking forward to the weekend.,Adjectives · States,115
Beginning,הַתְחָלָה,Hatchala,pl. Hatchalot הַתְחָלוֹת,"hat-cha-LA — from lehatchil (to begin). Bereshit, the first word of the Torah, means ""in the beginning"" — but hatchala is the everyday word.",זֶה רַק הַהַתְחָלָה.,Ze rak ha-hatchala.,This is only the beginning.,Nouns · Time,116
Past,עָבָר,Avar,,"a-VAR — from la'avor, ""to pass"": the past is what has passed. It's also the name of the past tense — your Phase 2 material.",בֶּעָבָר גַּרְתִּי בִּירוּשָׁלַיִם.,Ba-avar garti be-Yerushalayim.,In the past I lived in Jerusalem.,Nouns · Time,116
Break / pause / intermission,הַפְסָקָה,Hafsaka,pl. Hafsakot הַפְסָקוֹת,"haf-sa-KA — from lehafsik, ""to stop"". School recess, a coffee break, and a theatre intermission are all a hafsaka.",בּוֹאִי נִקַּח הַפְסָקָה שֶׁל עֶשֶׂר דַּקּוֹת.,Bo'i nikach hafsaka shel eser dakot.,Let's take a ten-minute break.,Nouns · Time,116
Board / calendar,לוּחַ,Luach,pl. Luchot לוּחוֹת,"LOO-ach — the Ten Commandments were on luchot ha-brit, stone tablets. A luach shana is a yearly calendar, and a classroom blackboard is a luach too.",הַלּוּחַ תָּלוּי עַל הַקִּיר בַּמִּטְבָּח.,Ha-luach talui al ha-kir ba-mitbach.,The calendar hangs on the kitchen wall.,Nouns · Time,116
To search / to look for,מְחַפֵּשׂ / מְחַפֶּשֶׂת,Mechapes / Mechapeset,inf. Le-chapes לְחַפֵּשׂ,me-cha-PES — searching until you're out of PEP. Chipus = a search.,אֲנִי מְחַפֶּשֶׂת אֶת הַמִּשְׁקָפַיִם שֶׁלִּי.,Ani mechapeset et ha-mishkafayim sheli.,I'm looking for my glasses.,Verbs · Investigating,117
To find,מוֹצֵא / מוֹצֵאת,Motze / Motzet,inf. Lim-tzo לִמְצוֹא,"mo-TSEH — ""MAZEL! I found it."" Metzia = a bargain, literally ""a find"".",אֲנִי לֹא מוֹצֵאת אֶת הַכְּתֹבֶת בַּמַּפָּה.,Lo motzet et ha-ketovet ba-mapa.,I can't find the address on the map.,Verbs · Investigating,117
To find out / to discover,מְגַלֶּה / מְגַלָּה,Megale / Megala,inf. Le-galot לְגַלּוֹת,"me-ga-LEH — to un-cover, like a GALLERY revealing a painting. Gilui = a discovery.",אֲנִי מְגַלֶּה מָה קָרָה.,Giliti sod. / Ani megale ma kara.,I'm finding out what happened.,Verbs · Investigating,117
To check,בּוֹדֵק / בּוֹדֶקֶת,Bodek / Bodeket,inf. Liv-dok לִבְדּוֹק,BO-dek — a doctor checks you on the DECK. Bdika = a test/checkup.,הָרוֹפֵא בּוֹדֵק אֶת הַחוֹלִים.,Ha-rofe bodek et ha-cholim.,The doctor examines the patients.,Verbs · Investigating,117
To include,כּוֹלֵל / כּוֹלֶלֶת,Kolel / Kolelet,inf. Lich-lol לִכְלוֹל,"KO-lel — from kol (all): to include is to take in ALL of it. Ha-mechir kolel… = ""the price includes…""",הַמְּחִיר כּוֹלֵל אֲרוּחָה וּשְׁתִיָּה.,Ha-mechir kolel arucha ve-shtiya.,The price includes a meal and a drink.,Verbs · Investigating,117
Idea,רַעְיוֹן,Ra'ayon,pl. Ra'ayonot רַעְיוֹנוֹת,"ra-a-YON — an idea that goes ON and ON. ""Yesh li ra'ayon!"" = ""I have an idea!""",יֵשׁ לִי רַעְיוֹן מְצֻיָּן.,Yesh li ra'ayon metzuyan.,I have an excellent idea.,Nouns · Abstract,120
Reason / cause,סִבָּה,Siba,pl. Sibot סִבּוֹת,"SEE-ba — a reason you can SEE. Mi-siba she… = ""for the reason that…""",אֵין סִבָּה לִדְאֹג.,Ein siba lidog.,There's no reason to worry.,Nouns · Abstract,120
Truth,אֱמֶת,Emet,,"eh-MET — say AMEN and you affirm the emet. Same root a-m-n as ""believe"".","תַּגִּיד לִי אֶת הָאֱמֶת, בְּבַקָּשָׁה.","Tagid li et ha-emet, bevakasha.","Tell me the truth, please.",Nouns · Abstract,120
Mistake / error,טָעוּת,Ta'ut,pl. Ta'uyot טָעֻיּוֹת,"ta-OOT — you went off route: ""ta-OUT of the way"". ""Ta'ut be-mispar"" = ""wrong number"" on the phone.",עָשִׂיתִי טָעוּת בַּחֶשְׁבּוֹן.,Asiti ta'ut ba-cheshbon.,I made a mistake in the calculation.,Nouns · Abstract,120
Difference,הֶבְדֵּל,Hevdel,pl. Hevdelim הֶבְדֵּלִים,"hev-DEL — from lehavdil, ""to separate"". Havdala is the Saturday-night ceremony separating Shabbat from the week.",מָה הַהֶבְדֵּל בֵּין הַשְּׁנַיִם?,Ma ha-hevdel ben ha-shnayim?,What's the difference between the two?,Nouns · Abstract,120
Only / just,רַק,Rak,,"RAK — ""RACK up only one."" Tiny word, enormous usage: ""Rak rega!"" = ""Just a moment!""",יֵשׁ לִי רַק חָמֵשׁ דַּקּוֹת.,Yesh li rak chamesh dakot.,I only have five minutes.,Connectors · Limits,121
Except for / apart from,חוּץ מִ־,Chutz mi-,,"chutz = outside, mi- = from. ""Outside of"" — everything except that. Note how it pairs with bachutz below.",כֻּלָּם בָּאוּ חוּץ מִדָּנִי.,Kulam ba'u chutz mi-Dani.,Everyone came except Dani.,Connectors · Limits,121
Even,אֲפִילוּ,Afilu,,"a-fee-LOO — ""a FEE, TOO?! Even that?"" Afilu lo = ""not even"".",הוּא עוֹבֵד אֲפִילוּ בְּשַׁבָּת.,Hu oved afilu be-shabbat.,He works even on Saturday.,Connectors · Limits,121
Most / -est,הֲכִי / רֹב,Hachi / Rov,,"ha-CHEE makes superlatives: hachi tov = the best, hachi gadol = the biggest. Rov means ""the majority of"": rov ha-anashim = most people.",זֶה הַמָּקוֹם הֲכִי יָפֶה בָּעִיר.,Ze ha-makom hachi yafe ba-ir.,This is the most beautiful place in the city.,Connectors · Limits,121
Outside,בַּחוּץ,Bachutz,,"ba-CHOOTS — be- (in) + chutz (outside). Chul (חו""ל) is the abbreviation for ""abroad"", literally ""outside the land"".","קַר בַּחוּץ, תִּסְגֹּר אֶת הַדֶּלֶת.","Kar bachutz, tisgor et ha-delet.","It's cold outside, close the door.",Connectors · Limits,121
Confusion / chaos,בִּלְבּוּל,Bilbul,pl. Bilbulim בִּלְבּוּלִים,"bil-BOOL — from the Tower of BABEL (Bavel), where all the languages got confused. The word even sounds jumbled.",הָיָה בִּלְבּוּל גָּדוֹל בַּתַּחֲנָה.,Haya bilbul gadol ba-tachana.,There was a big mix-up at the station.,Nouns · Abstract,122
Color,צֶבַע,Tzeva,pl. Tzva'im צְבָעִים,"TSEH-va — from litzbo'a (to paint). Eize tzeva ata ohev? = ""What color do you like?""",אֵיזֶה צֶבַע הַשִּׂמְלָה שֶׁלָּהּ?,Eize tzeva ha-simla shela?,What color is her dress?,Nouns · Abstract,122
Flag,דֶּגֶל,Degel,pl. Degalim דְּגָלִים,DEH-gel — a flag with a DANGLE. Degel Yisrael = the Israeli flag.,הַדֶּגֶל מִתְנוֹפֵף בָּרוּחַ.,Ha-degel mit-nofef ba-ruach.,The flag waves in the wind.,Nouns · Abstract,122
Gift / present,מַתָּנָה,Matana,pl. Matanot מַתָּנוֹת,"ma-ta-NA — from latet (to give), root n-t-n. A gift is ""a given thing"".",קִבַּלְתִּי מַתָּנָה יָפָה מֵהָאָחוֹת שֶׁלִּי.,Kibalti matana yafa me-ha-achot sheli.,I got a lovely gift from my sister.,Nouns · Abstract,122
Treasure,אוֹצָר,Otzar,pl. Otzarot אוֹצָרוֹת,"o-TSAR — an OZ-like hoard. Sar ha-otzar = the finance minister, ""minister of the treasury"".",הַיְּלָדִים מְחַפְּשִׂים אוֹצָר בַּחוֹל.,Ha-yeladim mechapsim otzar ba-chol.,The children are looking for treasure in the sand.,Nouns · Abstract,122
To garden,מְגַנֵּן / מְגַנֶּנֶת,Meganen / Meganenet,inf. Le-ganen לְגַנֵּן,"me-ga-NEN — a gan is a garden (and a kindergarten — a ""children's garden""). Ganan = gardener.",סַבָּא מְגַנֵּן בַּגַּן כָּל שַׁבָּת.,Saba meganen ba-gan kol shabbat.,Grandpa gardens in the garden every Saturday.,Verbs · Hobbies,123
"To paint (a wall, an object)",צוֹבֵעַ / צוֹבַעַת,Tzovea / Tzovaat,inf. Le-tzabo-a לִצְבֹּעַ,"tso-VEH-a — tzeva = color. To paint is to ""do color"" onto something.",אֲנַחְנוּ צוֹבְעִים אֶת הַקִּיר בְּלָבָן.,Anachnu tzov'im et ha-kir be-lavan.,We're painting the wall white.,Verbs · Hobbies,123
To color (in),צוֹבֵעַ / צוֹבַעַת,Tzovea / Tzovaat,inf. Litz-bo-a לִצְבֹּעַ,"Same word as paint — Hebrew doesn't split ""paint"" and ""color"". Context does the work.",הַיַּלְדָּה צוֹבַעַת אֶת הַצִּיּוּר.,Ha-yalda tzovaat et ha-tziur.,The girl colors in the drawing.,Verbs · Hobbies,123
To play (a game),מְשַׂחֵק / מְשַׂחֶקֶת,Mesachek / Mesacheket,inf. Le-sachek לְשַׂחֵק,me-sa-CHEK — you play and you CHECK the score. Mischak = a game; sachkan = a player/actor.,הַיְּלָדִים מְשַׂחֲקִים כַּדּוּרֶגֶל בַּגַּן.,Ha-yeladim mesachakim kaduregel ba-gan.,The children play soccer in the park.,Verbs · Hobbies,123
To sing,שָׁר / שָׁרָה,Shar / Shara,inf. La-shir לָשִׁיר,"SHAR — shir means ""song"", so lashir = ""to song"". Shir Ha-Shirim = Song of Songs.",הִיא שָׁרָה בְּמַקְהֵלָה.,Hi shara be-mak-hela.,She sings in a choir.,Verbs · Hobbies,123
Flower,פֶּרַח,Perach,pl. Prachim פְּרָחִים,"PEH-rach — from lifro'ach, ""to bloom"". Perach also means a cadet or trainee — someone still blooming.",קָנִיתִי פְּרָחִים לַשֻּׁלְחָן.,Kaniti prachim la-shulchan.,I bought flowers for the table.,Nouns · Abstract,124
Leaf / page,עָלֶה,Aleh,pl. Alim עָלִים,"a-LEH — from la'alot, ""to go up"": a leaf grows upward. Same word family as oleh (immigrant) and aliyah.",הֶעָלִים אֲדֻמִּים בַּסְּתָיו.,Ha-alim adumim ba-stav.,The leaves are red in autumn.,Nouns · Abstract,124
Wave,גַּל,Gal,pl. Galim גַּלִּים,GAL — a wave that gives you a GALLON of water. Galgal (wheel) is gal doubled — something that rolls.,הַגַּלִּים גְּבוֹהִים הַיּוֹם בַּיָּם.,Ha-galim gvohim ha-yom ba-yam.,The waves are high at the sea today.,Nouns · Abstract,124
Pouring rain / flood,מַבּוּל,Mabul,,"ma-BOOL — Noah's Flood is Ha-Mabul. Israelis use it for any downpour: ""Yesh mabul ba-chutz!""","יֵשׁ מַבּוּל בַּחוּץ, אַל תֵּצֵא בְּלִי מְעִיל.","Yesh mabul ba-chutz, al tetze bli me'il.","It's pouring outside, don't go out without a coat.",Nouns · Abstract,124
Ball,כַּדּוּר,Kadur,pl. Kadurim כַּדּוּרִים,ka-DOOR — kadur is also a pill and a bullet — anything small and round. Kadur ha-aretz = the globe; kaduregel = soccer.,הַיְּלָדִים מְשַׂחֲקִים עִם כַּדּוּר בַּגַּן.,Ha-yeladim mesachakim im kadur ba-gan.,The children play with a ball in the park.,Nouns · Abstract,124
Piano,פְּסַנְתֵּר,Psanter,pl. Psanterim פְּסַנְתֵּרִים,"psan-TER — from the Greek ""psalterion"", the same ancestor as ""psalm"" and ""psaltery"".",יֵשׁ פְּסַנְתֵּר יָשָׁן בַּסָּלוֹן.,Yesh psanter yashan ba-salon.,There's an old piano in the living room.,Nouns · Abstract,124
Crab / cancer,סַרְטָן,Sartan,pl. Sartanim סַרְטָנִים,"sar-TAN — like English, the animal and the disease share a name (Latin ""cancer"" = crab). Also the zodiac sign Cancer.",רָאִינוּ סַרְטָן קָטָן עַל הַחוֹף.,Ra'inu sartan katan al ha-chof.,We saw a small crab on the beach.,Nouns · Abstract,124
Safe / sure / certain,בָּטוּחַ / בְּטוּחָה,Batuach / Betucha,pl. Betuchim / Betuchot בְּטוּחִים / בְּטוּחוֹת,"ba-TOO-ach — from betach, ""sure!"" (a very common Israeli ""of course""). It means both ""safe"" and ""certain"": Ani betucha = I'm sure.",הַמָּקוֹם הַזֶּה בָּטוּחַ לַיְּלָדִים.,Ha-makom ha-ze batuach la-yeladim.,This place is safe for children.,Adjectives · States,127
Dangerous,מְסֻכָּן / מְסֻכֶּנֶת,Mesukan / Mesukenet,pl. Mesukanim / Mesukanot מְסֻכָּנִים / מְסֻכָּנוֹת,"me-su-KAN — from sakana, danger. Note: mesukan can also mean ""in danger"" or, for a person, ""pitiable"".",מְסֻכָּן לִשְׂחוֹת פֹּה.,Mesukan lishchot po.,It's dangerous to swim here.,Adjectives · States,127
Strong,חָזָק / חֲזָקָה,Chazak / Chazaka,pl. Chazakim / Chazakot חֲזָקִים / חֲזָקוֹת,"cha-ZAK — ""Chazak ve-ematz"" = ""Be strong and courageous"". Same root as lehachzik, to hold on.",הָרוּחַ חֲזָקָה מְאוֹד הַיּוֹם.,Ha-ruach chazaka me'od ha-yom.,The wind is very strong today.,Adjectives · States,127
Weak,חַלָּשׁ / חַלָּשָׁה,Chalash / Chalasha,pl. Chalashim / Chalashot חַלָּשִׁים / חַלָּשׁוֹת,"cha-LASH — a weak, LASHED-out feeling. Slang: ""chalash"" alone means ""lame / weak sauce"".",הַקֶּשֶׁר פֹּה חַלָּשׁ.,Ha-kesher po chalash.,The signal here is weak.,Adjectives · States,127
Stupid / silly,טִפְּשִׁי / טִפְּשִׁית,Tipshi / Tipshit,pl. Tipshiyim / Tipshiyot טִפְּשִׁיִּים / טִפְּשִׁיּוֹת,"tip-SHEE — from tipesh, a fool. Tipshi describes a thing (a stupid idea); tipesh describes a person.",זֶה הָיָה רַעְיוֹן טִפְּשִׁי.,Ze haya ra'ayon tipshi.,That was a stupid idea.,Adjectives · States,127
To wear (clothes),לוֹבֵשׁ / לוֹבֶשֶׁת,Lovesh / Loveshet,inf. Lil-bosh לִלְבּוֹשׁ,LO-vesh — you put on a LOVELY VEST. Levush = attire; malbush = a garment.,אֲנִי לוֹבֶשֶׁת חֻלְצָה לְבָנָה לָעֲבוֹדָה.,Ani loveshet chultza levana la-avoda.,I wear a white shirt to work.,Verbs · Daily life,128
To wear (shoes) / to lock,נוֹעֵל / נוֹעֶלֶת,Noel / Noelet,inf. Lin-ol לִנְעֹל,"no-EL — na'al = shoe. Hebrew uses a different verb for footwear than for clothes. (Same root also means ""to lock"" — a shoe closes your foot.)",הוּא נוֹעֵל נַעֲלַיִם שְׁחוֹרוֹת.,Hu noel na'alayim shchorot.,He wears black shoes.,Verbs · Daily life,128
To live / to reside,גָּר / גָּרָה,Gar / Gara,inf. La-gur לָגוּר,"GAR — ""Where do you GARage yourself?"" This is where you live; it's not the verb for being alive.",אֵיפֹה אַתְּ גָּרָה?,Eifo at gara?,Where do you live?,Verbs · Daily life,128
To use,מִשְׁתַּמֵּשׁ / מִשְׁתַּמֶּשֶׁת,Mishtamesh / Mishtameshet,inf. Le-hishtamesh לְהִשְׁתַּמֵּשׁ,mish-ta-MESH — you use a tool until it's a MESH. Shimush = usage; always followed by be-.,אֲנִי מִשְׁתַּמֶּשֶׁת בַּמַּחְשֵׁב לָעֲבוֹדָה.,Ani mishtameshet ba-machshev la-avoda.,I use the computer for work.,Verbs · Daily life,128
To prefer,מַעֲדִיף / מַעֲדִיפָה,Maadif / Maadifa,inf. Le-haadif לְהַעֲדִיף,ma-a-DEEF — the preferred one has the ADvantage — a DIFference in your favor.,אֲנִי מַעֲדִיפָה תֵּה עַל קָפֶה.,Ani maadifa te al kafe.,I prefer tea over coffee.,Verbs · Daily life,128
To send,שׁוֹלֵחַ / שׁוֹלַחַת,Sholeach / Sholachat,inf. Lish-loach לִשְׁלוֹחַ,"sho-LE-ach — a shaliach is a messenger, one who is SENT. ""Show, LAUNCH it.""",אֲנִי שׁוֹלַחַת לָךְ הוֹדָעָה.,Ani sholachat lach hoda'a.,I'm sending you a message.,Verbs · Communication,129
To show,מַרְאֶה / מַרְאָה,Mar-e / Mar-a,inf. Le-harot לְהַרְאוֹת,"mar-EH — ro'eh = see, mar'eh = cause to see = show. Mar'a also means ""mirror"".",תַּרְאֶה לִי אֶת הַתְּמוּנוֹת מֵהַטִּיּוּל.,Tar'e li et ha-tmunot me-ha-tiyul.,Show me the pictures from the trip.,Verbs · Communication,129
To sign,חוֹתֵם / חוֹתֶמֶת,Chotem / Chotemet,inf. Lach-tom לַחְתּוֹם,cho-TEM — a chotemet is a rubber stamp. You sign or stamp to seal it.,"תַּחְתְּמִי פֹּה, בְּבַקָּשָׁה.","Tachtemi po, bevakasha.","Sign here, please.",Verbs · Communication,129
To try,מְנַסֶּה / מְנַסָּה,Menase / Menasa,inf. Le-nasot לְנַסּוֹת,"me-na-SEH — trying is a NUISANCE until it works. Nisayon = an attempt (and ""experience"").",אֲנִי מְנַסָּה לְהָבִין אֶת הַדִּקְדּוּק.,Ani menasa lehavin et ha-dikduk.,I'm trying to understand the grammar.,Verbs · Communication,129
To interpret / to explain the meaning,מְפָרֵשׁ / מְפָרֶשֶׁת,Mefaresh / Mefareshet,inf. Le-faresh לְפָרֵשׁ,"me-fa-RESH — Rashi, the great biblical commentator, is the parshan par excellence. Parasha = a portion/interpretation.",כָּל אֶחָד מְפָרֵשׁ אֶת זֶה אַחֶרֶת.,Kol echad mefaresh et ze acheret.,Everyone interprets it differently.,Verbs · Communication,129
To fall,נוֹפֵל / נוֹפֶלֶת,Nofel / Nofelet,inf. Li-pol לִפּוֹל,"no-FEL — ""NO! FELL!"" Nefila = a fall.",הֶעָלִים נוֹפְלִים בַּסְּתָיו.,Ha-alim noflim ba-stav.,The leaves fall in autumn.,Verbs · Things going wrong,130
To hurt / to harm,פּוֹגֵעַ / פּוֹגַעַת,Pogea / Pogaat,inf. Lif-goa לִפְגּוֹעַ,po-GEH-a — a POKE that hurts. Pgi'a = an injury or an offense — it covers hurting feelings too.,הַמִּלִּים שֶׁלּוֹ פּוֹגְעוֹת בִּי.,Ha-milim shelo pog'ot bi.,His words hurt me.,Verbs · Things going wrong,130
To run away / to escape,בּוֹרֵחַ / בּוֹרַחַת,Boreach / Borachat,inf. Liv-roach לִבְרוֹחַ,"bo-RE-ach — ""BOLT, ROACH!"" — a cockroach scurrying off when the light goes on.",הֶחָתוּל בּוֹרֵחַ מֵהַכֶּלֶב.,Ha-chatul boreach me-ha-kelev.,The cat runs away from the dog.,Verbs · Things going wrong,130
To bark,נוֹבֵחַ / נוֹבַחַת,Noveach / Novachat,inf. Lin-boach לִנְבּוֹחַ,"no-VEH-ach — it even sounds like a dog: ""no-VACH! no-VACH!""",הַכֶּלֶב נוֹבֵחַ עַל כָּל אָדָם.,Ha-kelev noveach al kol adam.,The dog barks at every person.,Verbs · Things going wrong,130
To stare,בּוֹהֶה / בּוֹהָה,Bo-he / Bo-ha,inf. Liv-hot לִבְהוֹת,"BO-heh — a blank, BORED ""boh…"" while you gaze into nothing.",הוּא בּוֹהֶה בַּקִּיר מִזְּמַן.,Hu bohe ba-kir mizman.,He's been staring at the wall for a while.,Verbs · Things going wrong,130
To leave (a place or person),עוֹזֵב / עוֹזֶבֶת,Ozev / Ozevet,inf. La-azov לַעֲזוֹב,"oh-ZEV — ""Azov oti!"" = ""Leave me alone!"" One of the most-heard phrases in Israel.",הִיא עוֹזֶבֶת אֶת הָעֲבוֹדָה בְּשֵׁשׁ.,Hi ozevet et ha-avoda be-shesh.,She leaves work at six.,Verbs · Motion,131
To pass / to cross / to move house,עוֹבֵר / עוֹבֶרֶת,Over / Overet,inf. La-avor לַעֲבוֹר,"oh-VER — you go OVER to the other side. Avar = the past (what has passed); Ivrit = Hebrew, the language of those who crossed over.",הַזְּמַן עוֹבֵר מַהֵר.,Ha-zman over maher.,Time passes quickly.,Verbs · Motion,131
